Tm,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB
ARI,50,26.6,4.44,162,6276,5649,720,1494,289,48,154,680,132,44,490,1312,.264,.324,.414,.738,99,2341,134,33,46,57,40,1153
ATL,60,28.8,3.54,162,6034,5420,573,1361,251,18,100,548,69,33,471,1107,.251,.314,.359,.674,89,1948,148,44,67,31,39,1145
BAL,48,27.9,4.40,162,6007,5485,713,1370,246,20,217,686,44,25,418,1331,.250,.307,.421,.728,96,2307,127,51,20,32,23,990
BOS,51,28.3,4.62,162,6237,5640,748,1495,294,33,161,706,71,27,478,1148,.265,.325,.415,.740,98,2338,127,46,30,42,28,1142
CHC,50,26.9,4.25,162,6200,5491,689,1341,272,30,171,657,95,37,567,1518,.244,.321,.398,.719,96,2186,101,74,32,35,47,1165
CHW,40,28.2,3.84,162,6070,5533,622,1381,260,27,136,595,68,42,404,1231,.250,.306,.380,.686,91,2103,125,65,30,37,22,1065
CIN,50,29.5,3.95,162,6196,5571,640,1382,257,27,167,613,134,38,496,1255,.248,.312,.394,.706,92,2194,112,42,47,40,38,1148
CLE,49,27.9,4.16,161,6109,5439,669,1395,303,29,141,640,86,28,533,1157,.256,.325,.401,.725,94,2179,134,39,47,50,34,1147
COL,51,28.0,4.55,162,6071,5572,737,1479,274,49,186,702,97,43,388,1283,.265,.315,.432,.748,89,2409,114,33,44,34,47,1016
DET,47,28.3,4.28,161,6159,5605,689,1515,289,49,151,660,83,51,455,1259,.270,.328,.420,.748,106,2355,152,41,23,35,36,1111
HOU,46,26.6,4.50,162,6073,5459,729,1363,278,26,230,691,121,48,486,1392,.250,.315,.437,.752,105,2383,102,56,28,43,22,1036
KCR,45,29.1,4.47,162,6116,5575,724,1497,300,42,139,689,104,34,383,973,.269,.322,.412,.734,98,2298,133,77,34,47,28,1079
LAA,51,28.7,4.08,162,6083,5417,661,1331,243,21,176,621,52,34,435,1150,.246,.307,.396,.702,97,2144,116,58,37,40,34,1013
LAD,55,29.6,4.12,162,6090,5385,667,1346,263,26,187,638,59,34,563,1258,.250,.326,.413,.739,105,2222,135,60,49,30,31,1121
MIA,51,27.9,3.78,162,5988,5463,613,1420,236,40,120,575,112,45,375,1150,.260,.310,.384,.694,91,2096,133,39,71,40,30,1059
MIL,49,28.1,4.04,162,6024,5480,655,1378,274,34,145,624,84,29,412,1299,.251,.307,.393,.700,90,2155,130,41,55,34,35,1026
MIN,44,28.3,4.30,162,6017,5467,696,1349,277,44,156,661,70,38,439,1264,.247,.305,.399,.704,90,2182,133,40,30,41,31,993
NYM,49,28.5,4.22,162,6129,5527,683,1351,295,17,177,654,51,25,488,1290,.244,.312,.400,.712,98,2211,130,68,29,32,42,1098
NYY,56,31.1,4.72,162,6268,5567,764,1397,272,19,212,737,63,25,554,1227,.251,.323,.421,.744,105,2343,105,63,24,54,23,1151
OAK,52,27.9,4.28,162,6171,5600,694,1405,277,46,146,661,78,29,475,1119,.251,.312,.395,.707,94,2212,124,40,14,38,21,1102
PHI,50,28.0,3.86,162,6053,5529,626,1374,272,37,130,586,88,32,387,1274,.249,.303,.382,.684,86,2110,119,54,53,29,20,1066
PIT,46,28.2,4.30,162,6285,5631,697,1462,292,27,140,661,98,45,461,1322,.260,.323,.396,.719,98,2228,115,89,63,41,46,1166
SDP,46,27.7,4.01,162,6019,5457,650,1324,260,36,148,623,82,29,426,1327,.243,.300,.385,.685,92,2100,108,40,52,42,22,1028
SEA,51,28.6,4.05,162,6131,5544,656,1379,262,22,198,624,69,45,478,1336,.249,.311,.411,.722,102,2279,123,36,38,35,31,1080
SFG,48,28.9,4.30,162,6153,5565,696,1486,288,39,136,663,93,36,457,1159,.267,.326,.406,.732,102,2260,142,49,45,37,30,1130
STL,46,28.4,3.99,162,6139,5484,647,1386,288,39,137,619,69,38,506,1267,.253,.321,.394,.716,94,2163,128,66,39,42,47,1152
TBR,51,28.4,3.98,162,6071,5485,644,1383,278,32,167,612,87,45,436,1310,.252,.314,.406,.720,99,2226,121,84,19,47,22,1075
TEX,57,28.6,4.64,162,6187,5511,751,1419,279,32,172,707,101,39,503,1233,.257,.325,.413,.739,98,2278,99,76,43,54,32,1130
TOR,52,29.4,5.50,162,6232,5509,891,1480,308,17,232,852,88,23,570,1151,.269,.340,.457,.797,118,2518,140,54,36,62,12,1057
WSN,44,28.4,4.34,162,6117,5428,703,1363,265,13,177,665,57,23,539,1344,.251,.321,.403,.724,94,2185,129,44,55,51,38,1114